# Constructed from biom file
#OTU ID	sampleID_1	sampleID_1a	sampleID_2	sampleID_2a
Bacteria;;;	6.0	93.0	0.0	83.0
Bacteria;Omnitrophota;Koll11;GIF10	36.0	0.0	79.0	0.0
Bacteria;Acidobacteriota;Mor1;Gp22-AA2	0.0	4.0	0.0	17.0
Bacteria;Proteobacteria;Gammaproteobacteria;	0.0	11.0	0.0	17.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	323.0	17.0	527.0	24.0
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales	5.0	0.0	13.0	0.0
Bacteria;Nitrospirota;Nitrospiria;Nitrospirales	24.0	5.0	29.0	5.0
Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales	0.0	23.0	0.0	18.0
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales	6.0	0.0	4.0	0.0
Bacteria;Patescibacteria;ABY1;BM507	0.0	13.0	0.0	13.0
Bacteria;Desulfobacterota;GWC2-55-46;GWC2-55-46	0.0	8.0	0.0	7.0
Bacteria;Omnitrophota;Omnitrophia;Omnitrophales	0.0	27.0	0.0	25.0
Bacteria;Desulfobacterota_E;MBNT15;MBNT15	0.0	14.0	0.0	8.0
Bacteria;Omnitrophota;Koll11;2-01-FULL-45-10	0.0	6.0	0.0	4.0
Bacteria;Patescibacteria;Paceibacteria;UBA10092	0.0	7.0	0.0	9.0
Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales	0.0	6.0	9.0	15.0
Bacteria;Patescibacteria;Paceibacteria;UBA9983	0.0	30.0	0.0	37.0
Bacteria;Patescibacteria;Gracilibacteria;Peribacterales	0.0	38.0	0.0	45.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	294.0	28.0	198.0	86.0
Bacteria;Patescibacteria;;	0.0	15.0	0.0	9.0
Bacteria;Nitrospirota;Thermodesulfovibrionia;UBA6902	0.0	112.0	0.0	123.0
Bacteria;Patescibacteria;ABY1;	0.0	14.0	0.0	19.0
Bacteria;Omnitrophota;Koll11;UBA6215	0.0	4.0	0.0	7.0
Bacteria;Patescibacteria;ABY1;SG8-24	0.0	7.0	0.0	6.0
Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales	8.0	27.0	11.0	30.0
Bacteria;Firmicutes;Bacilli;	22.0	0.0	21.0	0.0
Bacteria;Omnitrophota;Koll11;2-02-FULL-51-18	0.0	14.0	0.0	9.0
Bacteria;Margulisbacteria;WOR-1;O2-12-FULL-45-9	0.0	20.0	0.0	26.0
