# Constructed from biom file
#OTU ID	sampleID_1a	sampleID_2	sampleID_2a
Bacteria;	93.0	0.0	83.0
Bacteria;Omnitrophota	51.0	79.0	45.0
Bacteria;Acidobacteriota	4.0	0.0	17.0
Bacteria;Proteobacteria	83.0	736.0	157.0
Bacteria;Bacteroidota	0.0	13.0	0.0
Bacteria;Nitrospirota	123.0	38.0	143.0
Bacteria;Methylomirabilota	23.0	0.0	18.0
Bacteria;Gemmatimonadota	0.0	4.0	0.0
Bacteria;Patescibacteria	124.0	0.0	138.0
Bacteria;Desulfobacterota	8.0	0.0	7.0
Bacteria;Desulfobacterota_E	14.0	0.0	8.0
Bacteria;Firmicutes	0.0	21.0	0.0
Bacteria;Margulisbacteria	20.0	0.0	26.0
