	SubjectID1	SubjectID2	Group1	Group2	Distance
0	sampleID_2	sampleID_1	2	2	0.26519337016574585
1	sampleID_1	sampleID_1a	2	a	0.8913443830570903
2	sampleID_1	sampleID_2a	2	a	0.8047882136279927
3	sampleID_2	sampleID_1a	2	a	0.8931860036832413
4	sampleID_2	sampleID_2a	2	a	0.852670349907919
0	sampleID_2a	sampleID_1a	a	a	0.17679558011049723
1	sampleID_1a	sampleID_1	a	2	0.8913443830570903
2	sampleID_1a	sampleID_2	a	2	0.8931860036832413
3	sampleID_2a	sampleID_1	a	2	0.8047882136279927
4	sampleID_2a	sampleID_2	a	2	0.852670349907919
