# Constructed from biom file
#OTU ID	sampleID_1a	sampleID_2	sampleID_2a
Bacteria;;	93.0	0.0	83.0
Bacteria;Omnitrophota;Koll11	24.0	79.0	20.0
Bacteria;Acidobacteriota;Mor1	4.0	0.0	17.0
Bacteria;Proteobacteria;Gammaproteobacteria	83.0	736.0	157.0
Bacteria;Bacteroidota;Bacteroidia	0.0	13.0	0.0
Bacteria;Nitrospirota;Nitrospiria	5.0	29.0	5.0
Bacteria;Methylomirabilota;Methylomirabilia	23.0	0.0	18.0
Bacteria;Gemmatimonadota;Gemmatimonadetes	0.0	4.0	0.0
Bacteria;Patescibacteria;ABY1	34.0	0.0	38.0
Bacteria;Desulfobacterota;GWC2-55-46	8.0	0.0	7.0
Bacteria;Omnitrophota;Omnitrophia	27.0	0.0	25.0
Bacteria;Desulfobacterota_E;MBNT15	14.0	0.0	8.0
Bacteria;Patescibacteria;Paceibacteria	37.0	0.0	46.0
Bacteria;Nitrospirota;Thermodesulfovibrionia	118.0	9.0	138.0
Bacteria;Patescibacteria;Gracilibacteria	38.0	0.0	45.0
Bacteria;Patescibacteria;	15.0	0.0	9.0
Bacteria;Firmicutes;Bacilli	0.0	21.0	0.0
Bacteria;Margulisbacteria;WOR-1	20.0	0.0	26.0
