id,(Intercept),treatment1b
Bacteria;;,0.083412969340703,0.7841497474429433
Bacteria;Omnitrophota;Koll11,0.10528922811956026,0.30440267901923523
Bacteria;Acidobacteriota;Mor1,0.45283845256686167,0.4881738235502125
Bacteria;Proteobacteria;Gammaproteobacteria,0.22332728517673003,0.2579343051125937
Bacteria;Bacteroidota;Bacteroidia,0.04364599693310226,0.3178339928933642
Bacteria;Nitrospirota;Nitrospiria,0.04364599693310242,0.0896923912658464
Bacteria;Methylomirabilota;Methylomirabilia,0.1262413196612666,0.16662860448631325
Bacteria;Gemmatimonadota;Gemmatimonadetes,0.04364599693310242,0.21402994427898805
Bacteria;Patescibacteria;ABY1,0.038219228135874965,0.0969436347120297
Bacteria;Desulfobacterota;GWC2-55-46,0.08528858854378538,0.12949835455158784
Bacteria;Omnitrophota;Omnitrophia,0.06984712175804263,0.11677517802137698
Bacteria;Desulfobacterota_E;MBNT15,0.22425012821749235,0.26145883900774464
Bacteria;Patescibacteria;Paceibacteria,0.07511176690079126,0.12098190268103565
Bacteria;Nitrospirota;Thermodesulfovibrionia,0.05488462317700045,0.8321497663518772
Bacteria;Patescibacteria;Gracilibacteria,0.05832445383594294,0.10823468288700586
Bacteria;Patescibacteria;,0.2098173736440762,0.24729364800558423
Bacteria;Firmicutes;Bacilli,0.043645996933102144,0.11353745522090251
Bacteria;Margulisbacteria;WOR-1,0.08881301660179294,0.13254169075357236
