# Constructed from biom file
#OTU ID	sampleID_1	sampleID_1a	sampleID_2	sampleID_2a
Bacteria;;	6.0	93.0	0.0	83.0
Bacteria;Omnitrophota;Koll11	36.0	24.0	79.0	20.0
Bacteria;Acidobacteriota;Mor1	0.0	4.0	0.0	17.0
Bacteria;Proteobacteria;Gammaproteobacteria	625.0	83.0	736.0	157.0
Bacteria;Bacteroidota;Bacteroidia	5.0	0.0	13.0	0.0
Bacteria;Nitrospirota;Nitrospiria	24.0	5.0	29.0	5.0
Bacteria;Methylomirabilota;Methylomirabilia	0.0	23.0	0.0	18.0
Bacteria;Gemmatimonadota;Gemmatimonadetes	6.0	0.0	4.0	0.0
Bacteria;Patescibacteria;ABY1	0.0	34.0	0.0	38.0
Bacteria;Desulfobacterota;GWC2-55-46	0.0	8.0	0.0	7.0
Bacteria;Omnitrophota;Omnitrophia	0.0	27.0	0.0	25.0
Bacteria;Desulfobacterota_E;MBNT15	0.0	14.0	0.0	8.0
Bacteria;Patescibacteria;Paceibacteria	0.0	37.0	0.0	46.0
Bacteria;Nitrospirota;Thermodesulfovibrionia	0.0	118.0	9.0	138.0
Bacteria;Patescibacteria;Gracilibacteria	0.0	38.0	0.0	45.0
Bacteria;Patescibacteria;	0.0	15.0	0.0	9.0
Bacteria;Firmicutes;Bacilli	22.0	0.0	21.0	0.0
Bacteria;Margulisbacteria;WOR-1	0.0	20.0	0.0	26.0
