Sample	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sampleID_1	14.865710146856332						
sampleID_1_1		75.24000000000001	53.0	194.2864	247	70.0	0.0025
sampleID_1_2		64.72	52.0	194.991	247	70.0	0.0025
sampleID_1a	16.065677104848678						
sampleID_1a_1		50.32	53.0	242.2148	247	50.0	0.0025
sampleID_1a_2		35.879999999999995	52.0	242.0312	247	30.0	0.0025
sampleID_2	11.142393649434279						
sampleID_2_1		67.6	53.0	241.5058	247	50.0	0.0025
sampleID_2_2		52.56	52.0	241.4194	247	50.0	0.0025
sampleID_2a	15.294364097150625						
sampleID_2a_1		52.400000000000006	53.0	242.5074	247	50.0	0.0025
sampleID_2a_2		38.800000000000004	52.0	242.4086	247	30.0	0.0025
