Module	Section	Sample Name	Source
Cutadapt	all_sections	sampleID_1	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/4/sampleID_1.trimmed.cutadapt.log
Cutadapt	all_sections	sampleID_1a	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/5/sampleID_1a.trimmed.cutadapt.log
Cutadapt	all_sections	sampleID_2	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/6/sampleID_2.trimmed.cutadapt.log
Cutadapt	all_sections	sampleID_2a	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/3/sampleID_2a.trimmed.cutadapt.log
FastQC	all_sections	sampleID_1_1	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/7/sampleID_1_1_fastqc.zip
FastQC	all_sections	sampleID_1_2	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/8/sampleID_1_2_fastqc.zip
FastQC	all_sections	sampleID_1a_1	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/9/sampleID_1a_1_fastqc.zip
FastQC	all_sections	sampleID_1a_2	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/10/sampleID_1a_2_fastqc.zip
FastQC	all_sections	sampleID_2_1	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/13/sampleID_2_1_fastqc.zip
FastQC	all_sections	sampleID_2_2	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/14/sampleID_2_2_fastqc.zip
FastQC	all_sections	sampleID_2a_1	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/11/sampleID_2a_1_fastqc.zip
FastQC	all_sections	sampleID_2a_2	/home/katwre/projects/Microbiome-ai-dev/analysis_bioinf/work/f1/9fccf92025cc6a68699e1204d94938/12/sampleID_2a_2_fastqc.zip
